[Pokedex] 08042024.120215.093 [I] - Added pokemon 89:Muk
[Pokedex] 08042024.120215.115 [I] - Added pokemon 90:Shellder
[Pokedex] 08042024.120215.141 [I] - Added pokemon 91:Cloyster
[Pokedex] 08042024.120215.161 [I] - Added pokemon 92:Gastly
[Pokedex] 08042024.120215.181 [I] - Added pokemon 93:Haunter
[Pokedex] 08042024.120215.255 [I] - Added pokemon 94:Gengar
[Pokedex] 08042024.120215.277 [I] - Added pokemon 95:Onix
[Pokedex] 08042024.120215.299 [I] - Added pokemon 96:Drowzee
[Pokedex] 08042024.120215.349 [I] - Added pokemon 97:Hypno
[Pokedex] 08042024.120215.410 [I] - Added pokemon 98:Krabby
[Pokedex] 08042024.120215.434 [I] - Added pokemon 99:Kingler
[Pokedex] 08042024.120215.467 [I] - Added pokemon 100:Voltorb
[Pokedex] 08042024.120215.523 [I] - Added pokemon 101:Electrode
[Pokedex] 08042024.120215.551 [I] - Added pokemon 102:Exeggcute
[Pokedex] 08042024.120215.583 [I] - Added pokemon 103:Exeggutor
[Pokedex] 08042024.120215.670 [I] - Added pokemon 104:Cubone
[Pokedex] 08042024.120215.708 [I] - Added pokemon 105:Marowak
[Pokedex] 08042024.120215.756 [I] - Added pokemon 106:Hitmonlee
[Pokedex] 08042024.120215.813 [I] - Added pokemon 107:Hitmonchan
[Pokedex] 08042024.120215.858 [I] - Added pokemon 108:Lickitung
[Pokedex] 08042024.120215.878 [I] - Added pokemon 109:Koffing
[Pokedex] 08042024.120215.906 [I] - Added pokemon 110:Weezing
[Pokedex] 08042024.120215.936 [I] - Added pokemon 111:Rhyhorn
[Pokedex] 08042024.120215.989 [I] - Added pokemon 112:Rhydon
[Pokedex] 08042024.120216.013 [I] - Added pokemon 113:Chansey
[Pokedex] 08042024.120216.033 [I] - Added pokemon 114:Tangela
[Pokedex] 08042024.120216.065 [I] - Added pokemon 115:Kangaskhan
[Pokedex] 08042024.120216.193 [I] - Added pokemon 116:Horsea
[Pokedex] 08042024.120216.226 [I] - Added pokemon 117:Seadra
[Pokedex] 08042024.120216.261 [I] - Added pokemon 118:Goldeen
[Pokedex] 08042024.120216.296 [I] - Added pokemon 119:Seaking
[Pokedex] 08042024.120216.320 [I] - Added pokemon 120:Staryu
[Pokedex] 08042024.120216.344 [I] - Added pokemon 121:Starmie
[Pokedex] 08042024.120216.378 [I] - Added pokemon 122:Mr. Mime
[Pokedex] 08042024.120216.411 [I] - Added pokemon 123:Scyther
[Pokedex] 08042024.120216.437 [I] - Added pokemon 124:Jynx
[Pokedex] 08042024.120216.464 [I] - Added pokemon 125:Electabuzz
[Pokedex] 08042024.120216.482 [I] - Added pokemon 126:Magmar
[Pokedex] 08042024.120216.502 [I] - Added pokemon 127:Pinsir
[Pokedex] 08042024.120216.530 [I] - Added pokemon 128:Tauros
[Pokedex] 08042024.120216.559 [I] - Added pokemon 129:Magikarp
[Pokedex] 08042024.120216.580 [I] - Added pokemon 130:Gyarados
[Pokedex] 08042024.120216.605 [I] - Added pokemon 131:Lapras
[Pokedex] 08042024.120216.628 [I] - Added pokemon 132:Ditto
[Pokedex] 08042024.120216.654 [I] - Added pokemon 133:Eevee
[Pokedex] 08042024.120216.681 [I] - Added pokemon 134:Vaporeon
[Pokedex] 08042024.120216.702 [I] - Added pokemon 135:Jolteon
[Pokedex] 08042024.120216.732 [I] - Added pokemon 136:Flareon
[Pokedex] 08042024.120216.762 [I] - Added pokemon 137:Porygon
[Pokedex] 08042024.120216.786 [I] - Added pokemon 138:Omanyte
[Pokedex] 08042024.120216.804 [I] - Added pokemon 139:Omastar
[Pokedex] 08042024.120216.828 [I] - Added pokemon 140:Kabuto
[Pokedex] 08042024.120216.857 [I] - Added pokemon 141:Kabutops
[Pokedex] 08042024.120216.879 [I] - Added pokemon 142:Aerodactyl
[Pokedex] 08042024.120216.905 [I] - Added pokemon 143:Snorlax
[Pokedex] 08042024.120216.927 [I] - Added pokemon 144:Articuno
[Pokedex] 08042024.120216.956 [I] - Added pokemon 145:Zapdos
[Pokedex] 08042024.120216.989 [I] - Added pokemon 146:Moltres
[Pokedex] 08042024.120217.014 [I] - Added pokemon 147:Dratini
[Pokedex] 08042024.120217.035 [I] - Added pokemon 148:Dragonair
[Pokedex] 08042024.120217.066 [I] - Added pokemon 149:Dragonite
[Pokedex] 08042024.120217.094 [I] - Added pokemon 150:Mewtwo
[Pokedex] 08042024.120217.119 [I] - Added pokemon 151:Mew
[Pokedex] 08042024.120217.143 [I] - Added pokemon 152:Chikorita
[Pokedex] 08042024.120217.165 [I] - Added pokemon 153:Bayleef
[Pokedex] 08042024.120217.187 [I] - Added pokemon 154:Meganium
[Pokedex] 08042024.120217.212 [I] - Added pokemon 155:Cyndaquil
[Pokedex] 08042024.120217.237 [I] - Added pokemon 156:Quilava
[Pokedex] 08042024.120217.258 [I] - Added pokemon 157:Typhlosion
[Pokedex] 08042024.120217.310 [I] - Added pokemon 158:Totodile
